unique_input_record_identifier	input_title	input_writers	input_performers
53jogSv23P6DFcOHcZrDs9	Save Me	Baker,Haner,Sanders,Seward,Sullivan	Avenged Sevenfold
55426eqWLGsLRzCHp0mlxA	Am I Right?	Andy Bell,Erasure,Vince Clarke	Erasure
6usHxH3iCQC3ETkIWG36Km	Disappear	Kay Hanley,Letters To Cleo	Letters To Cleo
70Vc2mCfevAjiM6O1vfGXR	Dipped In Ice	Aleicia Gibson,Chauncey Hollis Jr.,DiamontÃ© Harper,Dustin James Corbett,Gino Borri,Ryan Martinez	Saweetie
6Pbwhr9C4ddhsKLbnd6Ydg	Blue Fiddle	Paul Moravec	Cory Smythe,Hilary Hahn
3gW8N0jXhpnaw4R25UsRIL	Shake Your Money Maker	Elmore James	Elmore James
4IB3eXd1V1aCdJFYS7mU7T	Three Guesses	Linda Scott	Linda Scott
3PsNZLdClHYTnpQ8RS9fyG	Be Ma Fela	Tiago Novo	Marta Ren & The Groovelvets
1TUQrPj7jp0uc3cmS6kCzr	Finally	Pauline Henry	Pauline Henry
4dgbAhd966nEBgVhsG6HoT	Sahaja (Relaxing Yoga Music)	Marco Rinaldo	Spiritual Music Collection
6Yp57oaKt49cLiACXsWz7p	Batyar (Bigmouth Strikes Again)	Johnny Marr,Steven Morrissey	The Ukrainians
15cSr8Q5KzlSg6c3swnTrw	The Window up Above	Jones	George Jones
7b0TbASq3JHtj54SDVJQWJ	The Breeze And I	Al Stillman,Ernesto Lecuona	Henry Mancini
3OnclyqyU6kYhf3Swix1SS	Siete homicidios	Rodrigo Miranda	Los Trukeros
1TbuDl6GklIG7zy5fSiNni	Nessun Dorma	Giacomo Puccini	Luciano Pavarotti
0rH0nZVbFR4ny1lN1PNSfC	You Don't Want to Get You One of Those	Mark Knopfler	Mark Knopfler,Tommy Emmanuel
3JDPO6psvw4EZYAHOJVNd7	Go into Your Dance	Al Dubin,Harry Warren	Caroline O'Connor,Cathy Wydner,Company of 42nd Street,Kim Criswell,National Symphony Orchestra
7jqCebvd30ZSaQBfwV2Na5	Book II: Prelude and Fugue No. 17 in A-Flat Major, BWV 886	Johann Sebastian Bach	Sviatoslav Richter
296LoOFurYUNo0xr6diEES	OdyssÃ©e	Bernard Fevre,Jacky Giordano	Bernard Fevre
2UYdO5OLRIaWQhTTNCy7Dx	Unvergesslich (Inoubliable)	Charles Aznavour,Pierre Delanoe	Charles Aznavour
6VwGytUkC11Mj5kcHXggYj	Eravamo Re	Cosimo Fini,Stefano Tognini	Gue Pequeno
67bkRbYTDuhYXIwdIF0dkA	Caminando	Camilo VelÃ¡squez,VerÃ³nica AtehortÃºa	Veka
4XpoKWfMZzerw1R7uX5LMs	Boogie Magic	Dennis Coffey	Dennis Coffey
5EKCupOjtK8BBz8MUw8WWX	Looking Through Darkness	Derrick Harris,Keith Elam	Guru
78SCz6GkX5zPta7X1DsZnZ	Que Te Vaya Bonito	JosÃ© Alfredo Jimenez,RubÃ©n Fuentes	JosÃ© Alfredo Jimenez
1YMRTLjJC5gK4ZfULfm17T	Shoes	Doug Pinnick,Jerry Gaskill,Ty Tabor	King's X
2BAyouVbATFhG3qX9ZHuwQ	Bedrock	K. Crawford,N. Skeltys	B(if)tek
4rxTIrp20yS9TlGKOtP5pG	Pusti Micu, Gadan Je U Picu	B. M. Knindza	Baja Mali Knindza
2jpvd0imsQzgdoIXEBdNxj	Birds	Dan Carey,EmilÃ­ana Torrini	EmilÃ­ana Torrini
1jP3M6DPaKEIP8GQpTdHNX	Too Much	"Alex Lustig,Karim Kharbouch,Lonnie ""Skeme"" Kimble"	French Montana
7ggMd2kMLvHxFRpUocaJvE	Fata Morgana	Andreas Cremer,Philipp Handke	Ibiza House Classics
4HInoGZUGFFjFWq3IAwKTw	Superfine Love	"Biancaniello,Cohen,Frank ""Killer Bee"" Martin,Jeffrey Cohen,Louis Biancaniello,Narada Michael Walden,Skylar Jett,Walden"	Al Jarreau
4I1keiyuvoJkcGdk8Efq3D	Reunion	Gerry Mulligan	Chet Baker,Gerry Mulligan
3s8gmcDD3MLdyPeyDoEIK8	Botanist	Samuel Thomas Yeldham	Guineafowl
14iXpUJUEoXM9ADK29zT9h	Plea Bargain	Marc Shaiman	Marc Shaiman
07g2acZ6kljLjk0Xif8MtC	You Started Something	Matt Aitken,Mike Stock,Peter Waterman	Samantha Fox
4tu2wvKfJeaKS8uIySXrHR	Em Algum Lugar no Tempo	Alvaro Birita,Bruno Gouveia,Carlos Coelho,Manno Goes,Miguel Flores da Cunha	Biquini CavadÃ£o
7bgL7kWbCPhFh9ccpmlikL	Nu Exciters	Peter LaSalle,Ralf Eckert	Eckert,Lasalle
3EPleXomzYCh6w1bkBHhEF	Hats (Makes Me Wanna Holler)	Jean-Paul Maunick,Richard Bull	Incognito
1xeMq87xBMSLpjXo85jIOQ	Country Roads	John Denver,Mary Danoff,William Danoff	Me First and the Gimme Gimmes
1NIgovf0IUMcggtYPJRp6C	The Final Absolution	Ian Jekelis,Kenneth Steven Bedene,Mendel bij de Leij,Stefano Franceschini,Sven De Caluwe	Aborted
0uzhVVCG73nBIngV1hpyvY	I Can't Let Go	Al Gorgoni,Chip Taylor,Ltd.,Stone House Productions	Gorgoni,Martin & Taylor
7KYItmZqiTnvfuO42oc6Og	Agar Tu Hota	Abhendra Kumar Upadhyay,Ankit Tiwari	Ankit Tiwari
2mmFemFfAyv9kGffdjhGqC	Alguien Que Se Cruce En Mi Camino	Cacho Valdez,Eduardo Franco	Los Iracundos
5eDYqeMnqFNAHochPlvD9b	Taco Wagon	Dick Dale and his Del-Tones	Dick Dale and his Del-Tones
5U9MWOE39IQ7dcPDT0XO3T	Mother Goose: i. Sleeping Beauty	Maurice Ravel	Philharmonia Orchestra
47A2Tce2Zpgq0hl45qJki3	Appreciate You	Monte Level Kelley	Tay Kelley
1SzovCA1H8KPmhRm6BchKt	Trilogy for Krishna: Krishna II - Holy Denying	Arthur Andres Ribeiro	Uakti
2B8VErJAQkqP0bM6Mb33sL	Kapardina	Hristoforos Krokidis,Lefteris Papadopoulos	Vasilis Papakonstadinou
1AWKAG5IljRnoEromiawhk	It's Too Late	James Newton Howard	James Newton Howard
1LGMu3k03UURXTuATa2xdg	"The Shadow of Your Smile (Love Theme from ""The Sandpiper"")"	Ernie Freeman,Johnny Mandel,Paul Francis Webster	Vic Damone
7qLN09P7CvMTikaavrkGUr	Revitalize	Kay(fabe) LaNoise,Melanie GÃ¼ntzschel,Rico Suchatzki	Wynardtage
0SSIr855WMaF6rWXjZvgRo	Habit of Mind	Daniel Clarke,Joshua Grange,k.d. lang	k.d. lang,the Siss Boom Bang
6f4OdqA93uyv2K6UeEbKXU	St. Anger	Dennis Lisk,Guido Weiss,Jan Phillip Eissfeldt	Beginner
5GoGjEsPvr0McJQiGGCnws	Man Listen	A. Balshe,Ben Diehl,Danny Nguyen,K. Khaled	Belly
7c6opaRm7F0yivzl40LRqJ	Undercover of My Skin	Benjamin Robert Walker,Jan Skubiszewski	Benny Walker
7koVKROalkRPaeMFFzcyfw	Das Rheingold, WWV 86A / Erste Szene: Weia! Waga! Woge du Welle! - Live At Staatsoper, Vienna / 2011	Richard Wagner	Christian Thielemann,Ileana Tonca,Tomasz Konieczny,Ulrike Helzel,Vienna State Opera Orchestra,Zoryana Kushpler
4INqVSyfEPwnTkHtCwhIAb	Love Me Tender	E Presley,VG Matson	Daniel O'Donnell
4toHIBRIKMEEE61SusEwes	Higher - Jerry Folk Remix	Ketil Jansen,Maty Noyes,Sebastian Teigen,Ulrik Denizou Lund	Lemaitre
